day,hour,alive,uninfected,infected,recovered,deaths,quarantined,max_infected,variance_infected,mean_infected,run_no,avg_susceptibility,avg_recovery_time,initial_population,initial_infected,average_death_rate,average_recovery_rate,quarantine_delay,mass_testing_intensity,social_distancing_intensity,lockdown_intensity
30,720,4617,3785,716,116,383,0,16,1.628760659,2.0452261309999997,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
31,744,4589,3673,787,129,411,0,16,1.6446755730000002,2.0430839,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
32,768,4551,3519,892,140,449,0,16,1.6429139640000001,2.058943089,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
33,792,4512,3384,965,163,488,0,16,1.64893547,2.059479554,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
34,816,4465,3267,1020,178,535,0,16,1.644340586,2.070052539,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
35,840,4424,3188,1035,201,576,0,16,1.5982108369999999,2.054607509,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
36,864,4365,3121,1029,215,635,0,16,1.59568232,2.034883721,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
37,888,4321,3080,1009,232,679,0,16,1.5989371819999998,2.0415973380000003,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
38,912,4278,3026,1001,251,722,0,16,1.594589825,2.042833608,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
39,936,4224,2979,975,270,776,0,16,1.6213871480000002,2.06655574,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
40,960,4172,2895,982,295,828,0,16,1.597440499,2.027027027,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
41,984,4132,2820,1003,309,868,0,16,1.595282629,2.036979969,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
42,1008,4085,2718,1036,331,915,0,16,1.5823813569999998,2.035608309,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
43,1032,4029,2555,1108,366,971,0,16,1.565715732,2.048209366,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
44,1056,3981,2401,1194,386,1019,0,16,1.545346044,2.038910506,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
45,1080,3912,2255,1239,418,1088,0,16,1.53405231,2.036900369,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
46,1104,3860,2095,1310,455,1140,0,16,1.501364816,2.021664766,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
47,1128,3812,1994,1338,480,1188,0,16,1.5181909919999999,2.0376940130000003,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
48,1152,3736,1907,1324,505,1264,0,16,1.5280006469999998,2.038546256,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
49,1176,3682,1810,1338,534,1318,0,16,1.542850586,2.050646552,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
50,1200,3618,1726,1334,558,1382,0,16,1.543175271,2.054545455,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
51,1224,3560,1647,1316,597,1440,0,16,1.545556469,2.060796646,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
52,1248,3501,1605,1263,633,1499,0,16,1.5636583990000001,2.06779661,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
53,1272,3435,1564,1194,677,1565,0,16,1.533209356,2.035483871,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
54,1296,3389,1533,1150,706,1611,0,16,1.523214988,2.0347071580000002,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
55,1320,3346,1502,1099,745,1654,0,16,1.531149825,2.030567686,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
